1, private, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
25, private, terralith:alpha_islands, WATER_AMBIENT, tide:mint_carp, 10, 2, 3
26, private, terralith:alpha_islands, WATER_AMBIENT, tide:pike, 8, 2, 2
27, private, terralith:alpha_islands, WATER_AMBIENT, tide:trout, 10, 2, 3
28, private, terralith:alpha_islands, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
29, private, terralith:alpha_islands, RASCALS, friendsandfoes:rascal, 5, 1, 1
30, private, terralith:alpha_islands_winter, MONSTER, minecraft:spider, 80, 4, 4
31, private, terralith:alpha_islands_winter, MONSTER, minecraft:zombie, 80, 4, 4
32, private, terralith:alpha_islands_winter, MONSTER, minecraft:skeleton, 80, 4, 4
33, private, terralith:alpha_islands_winter, MONSTER, minecraft:slime, 80, 4, 4
34, private, terralith:alpha_islands_winter, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
35, private, terralith:alpha_islands_winter, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
36, private, terralith:alpha_islands_winter, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
37, private, terralith:alpha_islands_winter, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
38, private, terralith:alpha_islands_winter, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
39, private, terralith:alpha_islands_winter, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
40, private, terralith:alpha_islands_winter, MONSTER, tconstruct:earth_slime, 80, 2, 4
41, private, terralith:alpha_islands_winter, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
42, private, terralith:alpha_islands_winter, MONSTER, tconstruct:sky_slime, 80, 2, 4
43, private, terralith:alpha_islands_winter, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
44, private, terralith:alpha_islands_winter, MONSTER, endermanoverhaul:snowy_enderman, 10, 1, 4
45, private, terralith:alpha_islands_winter, MONSTER, majruszsdifficulty:tank, 5, 1, 1
46, private, terralith:alpha_islands_winter, CREATURE, minecraft:sheep, 12, 2, 2
47, private, terralith:alpha_islands_winter, CREATURE, minecraft:pig, 10, 2, 2
48, private, terralith:alpha_islands_winter, CREATURE, minecraft:chicken, 10, 2, 2
49, private, terralith:alpha_islands_winter, CREATURE, minecraft:cow, 8, 2, 2
50, private, terralith:alpha_islands_winter, CREATURE, minecraft:wolf, 8, 2, 2
51, private, terralith:alpha_islands_winter, CREATURE, naturalist:bluejay, 8, 1, 4
52, private, terralith:alpha_islands_winter, CREATURE, distantfriends:friend, 20, 1, 2
53, private, terralith:alpha_islands_winter, WATER_AMBIENT, tide:bluegill, 10, 2, 3
54, private, terralith:alpha_islands_winter, WATER_AMBIENT, tide:catfish, 8, 2, 2
55, private, terralith:alpha_islands_winter, WATER_AMBIENT, tide:clayfish, 6, 1, 2
56, private, terralith:alpha_islands_winter, WATER_AMBIENT, tide:pike, 8, 2, 2
57, private, terralith:alpha_islands_winter, WATER_AMBIENT, tide:trout, 10, 2, 3
58, private, terralith:alpha_islands_winter, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
59, private, terralith:alpha_islands_winter, RASCALS, friendsandfoes:rascal, 5, 1, 1
60, forest, terralith:alpine_grove, MONSTER, minecraft:spider, 80, 4, 4
61, forest, terralith:alpine_grove, MONSTER, minecraft:zombie, 80, 4, 4
62, forest, terralith:alpine_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
63, forest, terralith:alpine_grove, MONSTER, minecraft:skeleton, 80, 4, 4
64, forest, terralith:alpine_grove, MONSTER, minecraft:slime, 80, 4, 4
65, forest, terralith:alpine_grove, MONSTER, minecraft:witch, 5, 1, 1
66, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
67, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
68, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
69, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
70, forest, terralith:alpine_grove, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
71, forest, terralith:alpine_grove, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
72, forest, terralith:alpine_grove, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
73, forest, terralith:alpine_grove, MONSTER, tconstruct:earth_slime, 80, 2, 4
74, forest, terralith:alpine_grove, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
75, forest, terralith:alpine_grove, MONSTER, tconstruct:sky_slime, 80, 2, 4
76, forest, terralith:alpine_grove, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
77, forest, terralith:alpine_grove, MONSTER, endermanoverhaul:snowy_enderman, 10, 1, 4
78, forest, terralith:alpine_grove, MONSTER, majruszsdifficulty:tank, 5, 1, 1
79, forest, terralith:alpine_grove, CREATURE, minecraft:sheep, 12, 4, 4
80, forest, terralith:alpine_grove, CREATURE, minecraft:chicken, 10, 4, 4
81, forest, terralith:alpine_grove, CREATURE, minecraft:cow, 8, 4, 4
82, forest, terralith:alpine_grove, CREATURE, minecraft:wolf, 8, 2, 2
83, forest, terralith:alpine_grove, CREATURE, minecraft:rabbit, 5, 2, 3
84, forest, terralith:alpine_grove, CREATURE, minecraft:fox, 8, 1, 2
85, forest, terralith:alpine_grove, CREATURE, naturalist:bear, 8, 1, 2
86, forest, terralith:alpine_grove, CREATURE, naturalist:bluejay, 8, 1, 4
87, forest, terralith:alpine_grove, CREATURE, naturalist:boar, 15, 4, 4
88, forest, terralith:alpine_grove, CREATURE, naturalist:butterfly, 20, 3, 5
89, forest, terralith:alpine_grove, CREATURE, naturalist:cardinal, 8, 1, 4
90, forest, terralith:alpine_grove, CREATURE, naturalist:deer, 8, 1, 3
91, forest, terralith:alpine_grove, CREATURE, naturalist:finch, 8, 1, 4
92, forest, terralith:alpine_grove, CREATURE, minecraft:fox, 6, 2, 4
93, forest, terralith:alpine_grove, CREATURE, distantfriends:friend, 20, 1, 2
94, forest, terralith:alpine_grove, CREATURE, naturalist:lizard, 15, 1, 2
95, forest, terralith:alpine_grove, CREATURE, minecraft:rabbit, 6, 2, 3
96, forest, terralith:alpine_grove, CREATURE, naturalist:robin, 8, 1, 4
97, forest, terralith:alpine_grove, CREATURE, naturalist:snail, 5, 1, 3
98, forest, terralith:alpine_grove, CREATURE, naturalist:snake, 5, 1, 1
99, forest, terralith:alpine_grove, AMBIENT, minecraft:bat, 10, 8, 8
100, forest, terralith:alpine_grove, AMBIENT, naturalist:firefly, 80, 2, 3
101, forest, terralith:alpine_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
102, forest, terralith:alpine_grove, WATER_AMBIENT, tide:bluegill, 10, 2, 3
103, forest, terralith:alpine_grove, WATER_AMBIENT, tide:catfish, 8, 2, 2
104, forest, terralith:alpine_grove, WATER_AMBIENT, tide:clayfish, 6, 1, 2
105, forest, terralith:alpine_grove, WATER_AMBIENT, tide:pike, 8, 2, 2
106, forest, terralith:alpine_grove, WATER_AMBIENT, tide:trout, 10, 2, 3
107, forest, terralith:alpine_grove, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
108, forest, terralith:alpine_grove, RASCALS, friendsandfoes:rascal, 5, 1, 1
109, private, terralith:alpine_highlands, MONSTER, minecraft:spider, 80, 4, 4
110, private, terralith:alpine_highlands, MONSTER, minecraft:zombie, 80, 4, 4
111, private, terralith:alpine_highlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
112, private, terralith:alpine_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
113, private, terralith:alpine_highlands, MONSTER, minecraft:creeper, 80, 4, 4
114, private, terralith:alpine_highlands, MONSTER, minecraft:slime, 80, 4, 4
115, private, terralith:alpine_highlands, MONSTER, minecraft:enderman, 10, 1, 4
116, private, terralith:alpine_highlands, MONSTER, minecraft:witch, 5, 1, 1
117, private, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
118, private, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
119, private, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
120, private, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
121, private, terralith:alpine_highlands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
122, private, terralith:alpine_highlands, MONSTER, tconstruct:earth_slime, 80, 2, 4
123, private, terralith:alpine_highlands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
124, private, terralith:alpine_highlands, MONSTER, tconstruct:sky_slime, 80, 2, 4
125, private, terralith:alpine_highlands, MONSTER, majruszsdifficulty:tank, 5, 1, 1
126, private, terralith:alpine_highlands, CREATURE, minecraft:sheep, 12, 4, 4
127, private, terralith:alpine_highlands, CREATURE, minecraft:pig, 10, 4, 4
128, private, terralith:alpine_highlands, CREATURE, minecraft:chicken, 10, 4, 4
129, private, terralith:alpine_highlands, CREATURE, minecraft:cow, 8, 4, 4
130, private, terralith:alpine_highlands, CREATURE, minecraft:horse, 5, 1, 3
131, private, terralith:alpine_highlands, CREATURE, minecraft:donkey, 5, 1, 3
132, private, terralith:alpine_highlands, CREATURE, minecraft:wolf, 5, 4, 4
133, private, terralith:alpine_highlands, CREATURE, naturalist:bear, 8, 1, 2
134, private, terralith:alpine_highlands, CREATURE, naturalist:bluejay, 8, 1, 4
135, private, terralith:alpine_highlands, CREATURE, naturalist:butterfly, 20, 3, 5
136, private, terralith:alpine_highlands, CREATURE, distantfriends:friend, 20, 1, 2
137, private, terralith:alpine_highlands, CREATURE, naturalist:robin, 8, 1, 4
138, private, terralith:alpine_highlands, CREATURE, naturalist:snail, 5, 1, 3
139, private, terralith:alpine_highlands, CREATURE, naturalist:snake, 5, 1, 1
140, private, terralith:alpine_highlands, CREATURE, naturalist:sparrow, 8, 1, 4
141, private, terralith:alpine_highlands, AMBIENT, minecraft:bat, 10, 8, 8
142, private, terralith:alpine_highlands, AMBIENT, naturalist:firefly, 80, 2, 3
143, private, terralith:alpine_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
144, private, terralith:alpine_highlands, WATER_AMBIENT, tide:bluegill, 10, 2, 3
145, private, terralith:alpine_highlands, WATER_AMBIENT, tide:catfish, 8, 2, 2
146, private, terralith:alpine_highlands, WATER_AMBIENT, tide:clayfish, 6, 1, 2
147, private, terralith:alpine_highlands, WATER_AMBIENT, tide:pike, 8, 2, 2
148, private, terralith:alpine_highlands, WATER_AMBIENT, tide:trout, 10, 2, 3
149, private, terralith:alpine_highlands, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
150, private, terralith:alpine_highlands, RASCALS, friendsandfoes:rascal, 5, 1, 1
151, private, betterend:amber_land, MONSTER, minecraft:enderman, 50, 1, 4
152, private, betterend:amber_land, MONSTER, betterend:end_slime, 30, 1, 2
153, private, betterend:amber_land, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
154, private, betterend:amber_land, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
155, private, betterend:amber_land, MONSTER, endermanoverhaul:end_islands_enderman, 5, 1, 1
156, private, betterend:amber_land, MONSTER, tconstruct:ender_slime, 10, 2, 4
157, jungle, terralith:amethyst_canyon, MONSTER, minecraft:spider, 80, 4, 4
158, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie, 80, 4, 4
159, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie_villager, 5, 1, 1
160, jungle, terralith:amethyst_canyon, MONSTER, minecraft:skeleton, 80, 4, 4
161, jungle, terralith:amethyst_canyon, MONSTER, minecraft:slime, 80, 4, 4
162, jungle, terralith:amethyst_canyon, MONSTER, minecraft:enderman, 10, 1, 4
163, jungle, terralith:amethyst_canyon, MONSTER, minecraft:witch, 5, 1, 1
164, jungle, terralith:amethyst_canyon, MONSTER, minecraft:ocelot, 5, 1, 3
165, jungle, terralith:amethyst_canyon, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
166, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
167, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
168, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
169, jungle, terralith:amethyst_canyon, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
170, jungle, terralith:amethyst_canyon, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
171, jungle, terralith:amethyst_canyon, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
172, jungle, terralith:amethyst_canyon, MONSTER, tconstruct:earth_slime, 80, 2, 4
173, jungle, terralith:amethyst_canyon, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
174, jungle, terralith:amethyst_canyon, MONSTER, creeperoverhaul:jungle_creeper, 75, 2, 2
175, jungle, terralith:amethyst_canyon, MONSTER, tconstruct:sky_slime, 80, 2, 4
176, jungle, terralith:amethyst_canyon, MONSTER, majruszsdifficulty:tank, 5, 1, 1
177, jungle, terralith:amethyst_canyon, CREATURE, minecraft:sheep, 12, 4, 4
178, jungle, terralith:amethyst_canyon, CREATURE, minecraft:pig, 10, 4, 4
179, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 4, 4
180, jungle, terralith:amethyst_canyon, CREATURE, minecraft:cow, 8, 4, 4
181, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 2, 2
182, jungle, terralith:amethyst_canyon, CREATURE, minecraft:parrot, 40, 1, 2
183, jungle, terralith:amethyst_canyon, CREATURE, minecraft:panda, 5, 1, 2
184, jungle, terralith:amethyst_canyon, CREATURE, minecraft:wolf, 8, 4, 4
185, jungle, terralith:amethyst_canyon, CREATURE, naturalist:coral_snake, 5, 1, 1
186, jungle, terralith:amethyst_canyon, CREATURE, distantfriends:friend, 20, 1, 2
187, jungle, terralith:amethyst_canyon, CREATURE, naturalist:hippo, 15, 3, 4
188, jungle, terralith:amethyst_canyon, CREATURE, naturalist:lizard, 15, 1, 2
189, jungle, terralith:amethyst_canyon, CREATURE, naturalist:tortoise, 6, 1, 3
190, jungle, terralith:amethyst_canyon, AMBIENT, minecraft:bat, 10, 8, 8
191, jungle, terralith:amethyst_canyon, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
192, jungle, terralith:amethyst_canyon, WATER_AMBIENT, tide:bass, 10, 2, 3
193, jungle, terralith:amethyst_canyon, WATER_AMBIENT, tide:bluegill, 10, 2, 3
194, jungle, terralith:amethyst_canyon, WATER_AMBIENT, tide:guppy, 10, 2, 4
195, jungle, terralith:amethyst_canyon, WATER_AMBIENT, tide:mint_carp, 10, 2, 3
196, jungle, terralith:amethyst_canyon, WATER_AMBIENT, tide:pike, 8, 2, 2
197, jungle, terralith:amethyst_canyon, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
198, jungle, terralith:amethyst_canyon, RASCALS, friendsandfoes:rascal, 5, 1, 1
199, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:spider, 80, 4, 4
200, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie, 80, 4, 4
201, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie_villager, 5, 1, 1
202, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:skeleton, 80, 4, 4
203, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:slime, 80, 4, 4
204, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:enderman, 10, 1, 4
205, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:witch, 5, 1, 1
206, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:ocelot, 5, 1, 3
207, jungle, terralith:amethyst_rainforest, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
208, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
209, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
210, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
211, jungle, terralith:amethyst_rainforest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
212, jungle, terralith:amethyst_rainforest, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
213, jungle, terralith:amethyst_rainforest, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
214, jungle, terralith:amethyst_rainforest, MONSTER, tconstruct:earth_slime, 80, 2, 4
215, jungle, terralith:amethyst_rainforest, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
216, jungle, terralith:amethyst_rainforest, MONSTER, creeperoverhaul:jungle_creeper, 75, 2, 2
217, jungle, terralith:amethyst_rainforest, MONSTER, tconstruct:sky_slime, 80, 2, 4
218, jungle, terralith:amethyst_rainforest, MONSTER, majruszsdifficulty:tank, 5, 1, 1
219, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:sheep, 12, 4, 4
220, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:pig, 10, 4, 4
221, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 4, 4
222, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:cow, 8, 4, 4
223, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 2, 2
224, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:parrot, 40, 1, 2
225, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:panda, 5, 1, 2
226, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:wolf, 8, 4, 4
227, jungle, terralith:amethyst_rainforest, CREATURE, naturalist:coral_snake, 5, 1, 1
228, jungle, terralith:amethyst_rainforest, CREATURE, distantfriends:friend, 20, 1, 2
229, jungle, terralith:amethyst_rainforest, CREATURE, naturalist:hippo, 15, 3, 4
230, jungle, terralith:amethyst_rainforest, CREATURE, naturalist:lizard, 15, 1, 2
231, jungle, terralith:amethyst_rainforest, CREATURE, naturalist:tortoise, 6, 1, 3
232, jungle, terralith:amethyst_rainforest, AMBIENT, minecraft:bat, 10, 8, 8
233, jungle, terralith:amethyst_rainforest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
234, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, tide:bass, 10, 2, 3
235, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, tide:bluegill, 10, 2, 3
236, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, tide:guppy, 10, 2, 4
237, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, tide:mint_carp, 10, 2, 3
238, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, tide:pike, 8, 2, 2
239, jungle, terralith:amethyst_rainforest, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
240, jungle, terralith:amethyst_rainforest, RASCALS, friendsandfoes:rascal, 5, 1, 1
241, private, terralith:ancient_sands, MONSTER, minecraft:spider, 80, 4, 4
242, private, terralith:ancient_sands, MONSTER, minecraft:zombie, 19, 4, 4
243, private, terralith:ancient_sands, MONSTER, minecraft:zombie_villager, 5, 1, 1
244, private, terralith:ancient_sands, MONSTER, minecraft:skeleton, 80, 4, 4
245, private, terralith:ancient_sands, MONSTER, minecraft:creeper, 80, 4, 4
246, private, terralith:ancient_sands, MONSTER, minecraft:slime, 80, 4, 4
247, private, terralith:ancient_sands, MONSTER, minecraft:enderman, 10, 1, 4
248, private, terralith:ancient_sands, MONSTER, minecraft:witch, 5, 1, 1
249, private, terralith:ancient_sands, MONSTER, minecraft:husk, 80, 4, 4
250, private, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
251, private, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
252, private, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
253, private, terralith:ancient_sands, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
254, private, terralith:ancient_sands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
255, private, terralith:ancient_sands, MONSTER, tconstruct:earth_slime, 80, 2, 4
256, private, terralith:ancient_sands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
257, private, terralith:ancient_sands, MONSTER, tconstruct:sky_slime, 80, 2, 4
258, private, terralith:ancient_sands, MONSTER, majruszsdifficulty:tank, 5, 1, 1
259, private, terralith:ancient_sands, CREATURE, minecraft:rabbit, 5, 2, 3
260, private, terralith:ancient_sands, CREATURE, naturalist:cardinal, 8, 1, 4
261, private, terralith:ancient_sands, CREATURE, distantfriends:friend, 20, 1, 2
262, private, terralith:ancient_sands, CREATURE, friendsandfoes:mauler, 16, 1, 1
263, private, terralith:ancient_sands, CREATURE, naturalist:rattlesnake, 5, 1, 1
264, private, terralith:ancient_sands, AMBIENT, minecraft:bat, 10, 8, 8
265, private, terralith:ancient_sands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
266, private, terralith:ancient_sands, WATER_AMBIENT, tide:bass, 10, 2, 3
267, private, terralith:ancient_sands, WATER_AMBIENT, tide:bluegill, 10, 2, 3
268, private, terralith:ancient_sands, WATER_AMBIENT, tide:guppy, 10, 2, 4
269, private, terralith:ancient_sands, WATER_AMBIENT, tide:mint_carp, 10, 2, 3
270, private, terralith:ancient_sands, WATER_AMBIENT, tide:pike, 8, 2, 2
271, private, terralith:ancient_sands, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
272, private, terralith:ancient_sands, RASCALS, friendsandfoes:rascal, 5, 1, 1
273, savanna, terralith:arid_highlands, MONSTER, minecraft:spider, 80, 4, 4
274, savanna, terralith:arid_highlands, MONSTER, minecraft:zombie, 80, 4, 4
275, savanna, terralith:arid_highlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
276, savanna, terralith:arid_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
277, savanna, terralith:arid_highlands, MONSTER, minecraft:creeper, 80, 4, 4
278, savanna, terralith:arid_highlands, MONSTER, minecraft:slime, 80, 4, 4
279, savanna, terralith:arid_highlands, MONSTER, minecraft:witch, 5, 1, 1
280, savanna, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
281, savanna, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
282, savanna, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
283, savanna, terralith:arid_highlands, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
284, savanna, terralith:arid_highlands, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
285, savanna, terralith:arid_highlands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
286, savanna, terralith:arid_highlands, MONSTER, tconstruct:earth_slime, 80, 2, 4
287, savanna, terralith:arid_highlands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
288, savanna, terralith:arid_highlands, MONSTER, endermanoverhaul:savanna_enderman, 10, 1, 4
289, savanna, terralith:arid_highlands, MONSTER, tconstruct:sky_slime, 80, 2, 4
290, savanna, terralith:arid_highlands, MONSTER, majruszsdifficulty:tank, 5, 1, 1
291, savanna, terralith:arid_highlands, CREATURE, minecraft:sheep, 12, 4, 4
292, savanna, terralith:arid_highlands, CREATURE, minecraft:pig, 10, 4, 4
293, savanna, terralith:arid_highlands, CREATURE, minecraft:chicken, 10, 4, 4
294, savanna, terralith:arid_highlands, CREATURE, minecraft:cow, 8, 4, 4
295, savanna, terralith:arid_highlands, CREATURE, minecraft:horse, 5, 1, 3
296, savanna, terralith:arid_highlands, CREATURE, minecraft:donkey, 5, 1, 1
297, savanna, terralith:arid_highlands, CREATURE, naturalist:boar, 15, 4, 4
298, savanna, terralith:arid_highlands, CREATURE, naturalist:cardinal, 8, 1, 4
299, savanna, terralith:arid_highlands, CREATURE, naturalist:elephant, 10, 2, 3
300, savanna, terralith:arid_highlands, CREATURE, naturalist:finch, 8, 1, 4
301, savanna, terralith:arid_highlands, CREATURE, distantfriends:friend, 20, 1, 2
302, savanna, terralith:arid_highlands, CREATURE, naturalist:giraffe, 10, 2, 4
303, savanna, terralith:arid_highlands, CREATURE, naturalist:hippo, 15, 3, 4
304, savanna, terralith:arid_highlands, CREATURE, naturalist:lion, 8, 3, 5
305, savanna, terralith:arid_highlands, CREATURE, friendsandfoes:mauler, 32, 1, 1
306, savanna, terralith:arid_highlands, CREATURE, naturalist:rattlesnake, 5, 1, 1
307, savanna, terralith:arid_highlands, CREATURE, naturalist:rhino, 15, 1, 3
308, savanna, terralith:arid_highlands, CREATURE, naturalist:snail, 5, 1, 3
309, savanna, terralith:arid_highlands, CREATURE, naturalist:vulture, 15, 2, 4
310, savanna, terralith:arid_highlands, CREATURE, naturalist:zebra, 10, 2, 3
311, savanna, terralith:arid_highlands, AMBIENT, minecraft:bat, 10, 8, 8
312, savanna, terralith:arid_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
313, savanna, terralith:arid_highlands, WATER_AMBIENT, tide:bass, 10, 2, 3
314, savanna, terralith:arid_highlands, WATER_AMBIENT, tide:bluegill, 10, 2, 3
315, savanna, terralith:arid_highlands, WATER_AMBIENT, tide:guppy, 10, 2, 4
316, savanna, terralith:arid_highlands, WATER_AMBIENT, tide:mint_carp, 10, 2, 3
317, savanna, terralith:arid_highlands, WATER_AMBIENT, tide:pike, 8, 2, 2
318, savanna, terralith:arid_highlands, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
319, savanna, terralith:arid_highlands, RASCALS, friendsandfoes:rascal, 5, 1, 1
