1, terralith:mage_tower_spring, HEADING, header:ignore, 0, 0, 0
52, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
53, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
54, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
55, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
56, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
57, lavajava:lava_java_cafe, HEADING, header:ignore, 0, 0, 0
58, lavajava:lava_java_cafe, MONSTER, minecraft:zombified_piglin, 80, 1, 3
59, lavajava:lava_java_cafe, MONSTER, lavajava:wither_barista, 80, 1, 1
60, lavajava:lava_java_cafe, MONSTER, minecraft:wither_skeleton, 10, 1, 3
61, lavajava:lava_java_cafe, MONSTER, minecraft:skeleton, 5, 15, 50
62, ctov:large/village_swamp_fortified, HEADING, header:ignore, 0, 0, 0
63, ctov:pillager_outpost_beach, HEADING, header:ignore, 0, 0, 0
64, ctov:pillager_outpost_beach, MONSTER, minecraft:pillager, 5, 1, 1
65, ctov:pillager_outpost_beach, MONSTER, minecraft:evoker, 5, 1, 1
66, ctov:pillager_outpost_beach, MONSTER, minecraft:vindicator, 5, 1, 1
67, ctov:pillager_outpost_beach, MONSTER, minecraft:witch, 5, 1, 1
68, terralith:rubble_jungle, HEADING, header:ignore, 0, 0, 0
69, the_bumblezone:dance_floor, HEADING, header:ignore, 0, 0, 0
70, the_bumblezone:dance_floor, CREATURE, minecraft:bee, 5, 1, 1
71, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
72, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
73, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
74, ctov:pillager_outpost_badlands, HEADING, header:ignore, 0, 0, 0
75, ctov:pillager_outpost_badlands, MONSTER, minecraft:pillager, 5, 1, 1
76, ctov:pillager_outpost_badlands, MONSTER, minecraft:evoker, 5, 1, 1
77, ctov:pillager_outpost_badlands, MONSTER, minecraft:vindicator, 5, 1, 1
78, ctov:pillager_outpost_badlands, MONSTER, minecraft:witch, 5, 1, 1
79, the_bumblezone:overgrown_flower, HEADING, header:ignore, 0, 0, 0
80, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
81, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
82, evenbetterarcheology:archeologist_camp_redsand, HEADING, header:ignore, 0, 0, 0
83, farmers_structures:aquaculture_carp, HEADING, header:ignore, 0, 0, 0
84, terralith:rubble_desert, HEADING, header:ignore, 0, 0, 0
85, betternether:portals, HEADING, header:ignore, 0, 0, 0
86, aether:gold_dungeon, HEADING, header:ignore, 0, 0, 0
87, the_bumblezone:sempiternal_sanctum_purple, HEADING, header:ignore, 0, 0, 0
88, terralith:mage_tower_summer, HEADING, header:ignore, 0, 0, 0
89, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
90, evenbetterarcheology:archeologist_camp_grassy, HEADING, header:ignore, 0, 0, 0
91, ctov:medium/village_plains_fortified, HEADING, header:ignore, 0, 0, 0
92, mythic_charms:underground_village, HEADING, header:ignore, 0, 0, 0
93, mythic_charms:aquamarine_composer, HEADING, header:ignore, 0, 0, 0
94, illagerinvasion:illager_fort, HEADING, header:ignore, 0, 0, 0
95, illagerinvasion:illager_fort, MONSTER, minecraft:pillager, 30, 1, 1
96, illagerinvasion:illager_fort, MONSTER, illagerinvasion:marauder, 30, 1, 1
97, illagerinvasion:illager_fort, MONSTER, illagerinvasion:basher, 5, 1, 1
98, illagerinvasion:illager_fort, MONSTER, illagerinvasion:provoker, 30, 1, 1
99, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
100, farmers_structures:quark_moss, HEADING, header:ignore, 0, 0, 0
101, mythic_charms:deep_underground_village, HEADING, header:ignore, 0, 0, 0
102, ctov:small/village_savanna_na, HEADING, header:ignore, 0, 0, 0
103, ctov:medium/village_jungle, HEADING, header:ignore, 0, 0, 0
104, ctov:small/village_taiga_fortified, HEADING, header:ignore, 0, 0, 0
105, dungeons_arise:wishing_well, HEADING, header:ignore, 0, 0, 0
106, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
107, scorchful:warped_lily_farm, HEADING, header:ignore, 0, 0, 0
108, ctov:small/village_underground, HEADING, header:ignore, 0, 0, 0
109, hopo:portal_deepslate, HEADING, header:ignore, 0, 0, 0
110, the_bumblezone:goliath_honey_fountain, HEADING, header:ignore, 0, 0, 0
111, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
112, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
113, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
114, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
115, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
116, evenbetterarcheology:fossil_sheep_0, HEADING, header:ignore, 0, 0, 0
117, betterend:giant_mossy_glowshroom, HEADING, header:ignore, 0, 0, 0
118, dungeons_arise:scorched_mines, HEADING, header:ignore, 0, 0, 0
119, the_bumblezone:ancient_shrine, HEADING, header:ignore, 0, 0, 0
120, mythic_charms:hideout, HEADING, header:ignore, 0, 0, 0
121, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
122, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
123, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
124, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
125, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
126, the_bumblezone:ice_monolith, HEADING, header:ignore, 0, 0, 0
127, the_bumblezone:bumbling_beepartments, HEADING, header:ignore, 0, 0, 0
128, the_bumblezone:bumbling_beepartments, CREATURE, minecraft:bee, 5, 1, 3
129, the_bumblezone:bumbling_beepartments, CREATURE, the_bumblezone:variant_bee, 5, 1, 2
130, the_bumblezone:bumbling_beepartments, CREATURE, the_bumblezone:beehemoth, 5, 1, 1
131, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
132, spectrum:lizard_den/basal_marble, HEADING, header:ignore, 0, 0, 0
133, spectrum:lizard_den/basal_marble, CREATURE, spectrum:lizard, 5, 1, 2
134, illagerinvasion:illusioner_tower, HEADING, header:ignore, 0, 0, 0
135, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
136, dungeons_arise_seven_seas:unicorn_galleon, HEADING, header:ignore, 0, 0, 0
137, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
138, betterend:end_village, HEADING, header:ignore, 0, 0, 0
139, ctov:medium/village_snowy_igloo, HEADING, header:ignore, 0, 0, 0
140, terralith:mage_tower_autumn, HEADING, header:ignore, 0, 0, 0
141, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
142, ctov:medium/village_desert, HEADING, header:ignore, 0, 0, 0
143, terralith:rubble_mesa, HEADING, header:ignore, 0, 0, 0
144, ctov:small/village_jungle, HEADING, header:ignore, 0, 0, 0
145, betternether:pyramid, HEADING, header:ignore, 0, 0, 0
146, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
147, ad_astra:oil_well, HEADING, header:ignore, 0, 0, 0
148, evenbetterarcheology:fossil_jungle_1, HEADING, header:ignore, 0, 0, 0
149, dungeons_arise:thornborn_towers, HEADING, header:ignore, 0, 0, 0
150, ctov:pillager_outpost_plains, HEADING, header:ignore, 0, 0, 0
151, ctov:pillager_outpost_plains, MONSTER, minecraft:pillager, 5, 1, 1
152, ctov:pillager_outpost_plains, MONSTER, minecraft:evoker, 5, 1, 1
153, ctov:pillager_outpost_plains, MONSTER, minecraft:vindicator, 5, 1, 1
154, ctov:pillager_outpost_plains, MONSTER, minecraft:witch, 5, 1, 1
155, mythic_charms:gold_composer, HEADING, header:ignore, 0, 0, 0
156, natures_spirit:village_cypress, HEADING, header:ignore, 0, 0, 0
157, spectrum:forsaken_cathedral, HEADING, header:ignore, 0, 0, 0
158, dungeons_arise:mushroom_house, HEADING, header:ignore, 0, 0, 0
159, farmers_structures:aquaculture_common, HEADING, header:ignore, 0, 0, 0
160, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
161, ctov:large/village_taiga, HEADING, header:ignore, 0, 0, 0
162, farmers_structures:cook_nether_2, HEADING, header:ignore, 0, 0, 0
163, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
164, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
165, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
166, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
167, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 5, 1, 1
168, ctov:small/village_beach, HEADING, header:ignore, 0, 0, 0
169, ctov:medium/village_taiga, HEADING, header:ignore, 0, 0, 0
170, ctov:pillager_outpost_snowy, HEADING, header:ignore, 0, 0, 0
171, ctov:pillager_outpost_snowy, MONSTER, minecraft:pillager, 5, 1, 1
172, ctov:pillager_outpost_snowy, MONSTER, minecraft:evoker, 5, 1, 1
173, ctov:pillager_outpost_snowy, MONSTER, minecraft:vindicator, 5, 1, 1
174, ctov:pillager_outpost_snowy, MONSTER, minecraft:witch, 5, 1, 1
175, the_bumblezone:stinger_spear_shrine, HEADING, header:ignore, 0, 0, 0
176, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
177, spellbladenext:firetower, HEADING, header:ignore, 0, 0, 0
178, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
179, ctov:pillager_outpost_mesa, HEADING, header:ignore, 0, 0, 0
180, ctov:pillager_outpost_mesa, MONSTER, minecraft:pillager, 5, 1, 1
181, ctov:pillager_outpost_mesa, MONSTER, minecraft:evoker, 5, 1, 1
182, ctov:pillager_outpost_mesa, MONSTER, minecraft:vindicator, 5, 1, 1
183, ctov:pillager_outpost_mesa, MONSTER, minecraft:witch, 5, 1, 1
184, ctov:small/village_mesa, HEADING, header:ignore, 0, 0, 0
185, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
186, ctov:large/village_dark_forest, HEADING, header:ignore, 0, 0, 0
187, mythic_charms:teal_composer, HEADING, header:ignore, 0, 0, 0
188, mythic_charms:silver_composer, HEADING, header:ignore, 0, 0, 0
189, the_bumblezone:sempiternal_sanctum_yellow, HEADING, header:ignore, 0, 0, 0
190, aether:bronze_dungeon, HEADING, header:ignore, 0, 0, 0
191, the_bumblezone:bee_house, HEADING, header:ignore, 0, 0, 0
192, the_bumblezone:bee_house, CREATURE, minecraft:bee, 5, 1, 1
193, mythic_charms:violet_composer, HEADING, header:ignore, 0, 0, 0
194, ctov:medium/village_savanna, HEADING, header:ignore, 0, 0, 0
195, minecraft:monument, HEADING, header:ignore, 0, 0, 0
196, minecraft:monument, MONSTER, minecraft:guardian, 5, 2, 4
197, dungeons_arise:mushroom_village, HEADING, header:ignore, 0, 0, 0
198, ctov:small/village_mesa_fortified, HEADING, header:ignore, 0, 0, 0
199, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
200, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
201, betternether:respawn_points, HEADING, header:ignore, 0, 0, 0
202, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
203, spectrum:undergrowth_manor, HEADING, header:ignore, 0, 0, 0
204, farmers_structures:aether, HEADING, header:ignore, 0, 0, 0
205, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
206, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
207, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
208, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
209, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
210, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
211, minecraft:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
212, ctov:small/village_snowy_igloo, HEADING, header:ignore, 0, 0, 0
213, ctov:large/village_christmas, HEADING, header:ignore, 0, 0, 0
214, the_bumblezone:hive_temple, HEADING, header:ignore, 0, 0, 0
215, the_bumblezone:hive_temple, CREATURE, the_bumblezone:honey_slime, 5, 1, 1
216, the_bumblezone:sempiternal_sanctum_blue, HEADING, header:ignore, 0, 0, 0
217, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
218, bosses_of_mass_destruction:void_blossom, HEADING, header:ignore, 0, 0, 0
219, dungeons_arise_seven_seas:small_yacht, HEADING, header:ignore, 0, 0, 0
220, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
221, paradise_lost:well, HEADING, header:ignore, 0, 0, 0
222, ctov:pillager_outpost_savanna, HEADING, header:ignore, 0, 0, 0
223, ctov:pillager_outpost_savanna, MONSTER, minecraft:pillager, 5, 1, 1
224, ctov:pillager_outpost_savanna, MONSTER, minecraft:evoker, 5, 1, 1
225, ctov:pillager_outpost_savanna, MONSTER, minecraft:vindicator, 5, 1, 1
226, ctov:pillager_outpost_savanna, MONSTER, minecraft:witch, 5, 1, 1
227, betterend:megalake_small, HEADING, header:ignore, 0, 0, 0
228, ctov:large/village_savanna_na, HEADING, header:ignore, 0, 0, 0
229, ctov:small/village_mushroom, HEADING, header:ignore, 0, 0, 0
230, ctov:small/village_christmas, HEADING, header:ignore, 0, 0, 0
231, farmers_structures:cook, HEADING, header:ignore, 0, 0, 0
232, spectrum:excavation_site, HEADING, header:ignore, 0, 0, 0
233, ctov:small/village_swamp_fortified, HEADING, header:ignore, 0, 0, 0
234, farmers_structures:cook_moss, HEADING, header:ignore, 0, 0, 0
235, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
236, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 5, 2, 4
237, ctov:large/village_savanna, HEADING, header:ignore, 0, 0, 0
238, dungeons_arise_seven_seas:corsair_corvette, HEADING, header:ignore, 0, 0, 0
239, illagerinvasion:sorcerer_hut, HEADING, header:ignore, 0, 0, 0
240, betterend:mountain, HEADING, header:ignore, 0, 0, 0
241, dungeons_arise:bathhouse, HEADING, header:ignore, 0, 0, 0
242, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
243, evenbetterarcheology:desert_obelisk, HEADING, header:ignore, 0, 0, 0
244, terralith:rubble_taiga, HEADING, header:ignore, 0, 0, 0
245, spectrum:pedestal_ruins_deepslate, HEADING, header:ignore, 0, 0, 0
246, terralith:spire, HEADING, header:ignore, 0, 0, 0
247, betternether:ghast_hive, HEADING, header:ignore, 0, 0, 0
248, ctov:large/village_plains, HEADING, header:ignore, 0, 0, 0
249, betternether:pillars, HEADING, header:ignore, 0, 0, 0
250, dungeons_arise:mechanical_nest, HEADING, header:ignore, 0, 0, 0
251, ctov:small/village_taiga, HEADING, header:ignore, 0, 0, 0
252, ctov:small/village_plains_fortified, HEADING, header:ignore, 0, 0, 0
253, dungeons_arise:shiraz_palace, HEADING, header:ignore, 0, 0, 0
254, dungeons_arise:typhon, HEADING, header:ignore, 0, 0, 0
255, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
256, the_bumblezone:pirate_ship, HEADING, header:ignore, 0, 0, 0
257, natures_spirit:village_adobe, HEADING, header:ignore, 0, 0, 0
258, the_bumblezone:candle_parkour, HEADING, header:ignore, 0, 0, 0
259, the_bumblezone:hanging_garden, HEADING, header:ignore, 0, 0, 0
260, zenith:tower_spruce, HEADING, header:ignore, 0, 0, 0
261, hopo:piglin_ruin, HEADING, header:ignore, 0, 0, 0
262, ctov:large/village_swamp, HEADING, header:ignore, 0, 0, 0
263, illagerinvasion:firecaller_hut, HEADING, header:ignore, 0, 0, 0
264, ctov:small/village_swamp, HEADING, header:ignore, 0, 0, 0
265, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
266, tide:fishing_boat, HEADING, header:ignore, 0, 0, 0
267, the_bumblezone:phantasm_aviary, HEADING, header:ignore, 0, 0, 0
268, the_bumblezone:phantasm_aviary, MONSTER, minecraft:phantom, 80, 1, 2
269, evenbetterarcheology:underwater_0, HEADING, header:ignore, 0, 0, 0
270, evenbetterarcheology:archeologist_camp_sand, HEADING, header:ignore, 0, 0, 0
271, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
272, the_bumblezone:cherry_veteran_tree, HEADING, header:ignore, 0, 0, 0
273, evenbetterarcheology:buried_ruins_sand, HEADING, header:ignore, 0, 0, 0
274, ctov:medium/village_underground, HEADING, header:ignore, 0, 0, 0
275, ctov:small/village_desert, HEADING, header:ignore, 0, 0, 0
276, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
277, ctov:large/village_mountain_alpine, HEADING, header:ignore, 0, 0, 0
278, ctov:large/village_beach, HEADING, header:ignore, 0, 0, 0
279, farmers_structures:sushi, HEADING, header:ignore, 0, 0, 0
280, the_bumblezone:honitel, HEADING, header:ignore, 0, 0, 0
281, the_bumblezone:honitel, CREATURE, minecraft:bee, 5, 1, 1
282, the_bumblezone:honey_cave_room, HEADING, header:ignore, 0, 0, 0
283, the_bumblezone:honey_cave_room, CREATURE, the_bumblezone:beehemoth, 5, 1, 1
284, hopo:portal_dripstone, HEADING, header:ignore, 0, 0, 0
285, ctov:small/village_dark_forest, HEADING, header:ignore, 0, 0, 0
286, ctov:medium/village_jungle_tree, HEADING, header:ignore, 0, 0, 0
287, evenbetterarcheology:underwater_1, HEADING, header:ignore, 0, 0, 0
288, ad_astra:venus_bullet, HEADING, header:ignore, 0, 0, 0
289, ctov:large/village_jungle_tree, HEADING, header:ignore, 0, 0, 0
290, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
291, the_bumblezone:cell_maze, HEADING, header:ignore, 0, 0, 0
292, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
293, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
294, ctov:medium/village_swamp_fortified, HEADING, header:ignore, 0, 0, 0
295, evenbetterarcheology:stonehenge_grassy, HEADING, header:ignore, 0, 0, 0
296, terralith:rubble_mountain, HEADING, header:ignore, 0, 0, 0
297, farmers_structures:undergarden_sea, HEADING, header:ignore, 0, 0, 0
298, mythic_charms:ivory_composer, HEADING, header:ignore, 0, 0, 0
299, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
300, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
301, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
302, evenbetterarcheology:villager_grave, HEADING, header:ignore, 0, 0, 0
303, betterend:painted_mountain, HEADING, header:ignore, 0, 0, 0
304, betternether:gardens, HEADING, header:ignore, 0, 0, 0
305, ad_astra:moon_dungeon, HEADING, header:ignore, 0, 0, 0
306, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
307, ad_astra:pygro_village, HEADING, header:ignore, 0, 0, 0
308, the_bumblezone:sempiternal_sanctum_red, HEADING, header:ignore, 0, 0, 0
309, ctov:medium/village_swamp, HEADING, header:ignore, 0, 0, 0
310, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
311, spectrum:preservation_ruins, HEADING, header:ignore, 0, 0, 0
312, ctov:large/village_mountain, HEADING, header:ignore, 0, 0, 0
313, illagerinvasion:labyrinth, HEADING, header:ignore, 0, 0, 0
314, evenbetterarcheology:ruins_sand, HEADING, header:ignore, 0, 0, 0
315, ctov:medium/village_beach, HEADING, header:ignore, 0, 0, 0
316, integrated_stronghold:stronghold, HEADING, header:ignore, 0, 0, 0
317, integrated_stronghold:stronghold, MONSTER, minecraft:silverfish, 5, 1, 3
318, integrated_stronghold:stronghold, MONSTER, minecraft:enderman, 5, 1, 1
319, nebulus_cherry_blossem_tree:cherry_blossom_tree, HEADING, header:ignore, 0, 0, 0
320, spectrum:city_below, HEADING, header:ignore, 0, 0, 0
321, natures_spirit:village_wisteria, HEADING, header:ignore, 0, 0, 0
322, dungeons_arise:small_blimp, HEADING, header:ignore, 0, 0, 0
323, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
324, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
325, farmers_structures:quark_jungle, HEADING, header:ignore, 0, 0, 0
326, bosses_of_mass_destruction:lich_tower, HEADING, header:ignore, 0, 0, 0
327, terralith:underground/mining_outpost, HEADING, header:ignore, 0, 0, 0
328, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
329, evenbetterarcheology:underwater_3, HEADING, header:ignore, 0, 0, 0
330, ctov:medium/village_christmas, HEADING, header:ignore, 0, 0, 0
331, aether:large_aercloud, HEADING, header:ignore, 0, 0, 0
332, hopo:portal_lush, HEADING, header:ignore, 0, 0, 0
333, zenith:tower_main, HEADING, header:ignore, 0, 0, 0
334, aether:silver_dungeon, HEADING, header:ignore, 0, 0, 0
335, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
336, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
337, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
338, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
339, betterfortresses:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
340, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
341, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
342, ad_astra:pygro_tower, HEADING, header:ignore, 0, 0, 0
343, ctov:large/village_plains_fortified, HEADING, header:ignore, 0, 0, 0
344, ctov:large/village_mesa_fortified, HEADING, header:ignore, 0, 0, 0
345, ctov:pillager_outpost_jungle, HEADING, header:ignore, 0, 0, 0
346, ctov:pillager_outpost_jungle, MONSTER, minecraft:pillager, 5, 1, 1
347, ctov:pillager_outpost_jungle, MONSTER, minecraft:evoker, 5, 1, 1
348, ctov:pillager_outpost_jungle, MONSTER, minecraft:vindicator, 5, 1, 1
349, ctov:pillager_outpost_jungle, MONSTER, minecraft:witch, 5, 1, 1
350, ctov:pillager_outpost_desert, HEADING, header:ignore, 0, 0, 0
351, ctov:pillager_outpost_desert, MONSTER, minecraft:pillager, 5, 1, 1
352, ctov:pillager_outpost_desert, MONSTER, minecraft:evoker, 5, 1, 1
353, ctov:pillager_outpost_desert, MONSTER, minecraft:vindicator, 5, 1, 1
354, ctov:pillager_outpost_desert, MONSTER, minecraft:witch, 5, 1, 1
355, the_bumblezone:cannon_range, HEADING, header:ignore, 0, 0, 0
356, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
357, the_bumblezone:mite_fortress, HEADING, header:ignore, 0, 0, 0
358, the_bumblezone:mite_fortress, MONSTER, minecraft:enderman, 80, 1, 2
359, mythic_charms:indigo_composer, HEADING, header:ignore, 0, 0, 0
360, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
361, ctov:large/village_mesa, HEADING, header:ignore, 0, 0, 0
362, evenbetterarcheology:fossil_creeper, HEADING, header:ignore, 0, 0, 0
363, terralith:mage_tower, HEADING, header:ignore, 0, 0, 0
364, farmers_structures:aquaculture_beach, HEADING, header:ignore, 0, 0, 0
365, betterjungletemples:jungle_temple, HEADING, header:ignore, 0, 0, 0
366, mythic_charms:lime_composer, HEADING, header:ignore, 0, 0, 0
367, zenith:tower_leaf, HEADING, header:ignore, 0, 0, 0
368, ctov:large/village_mushroom, HEADING, header:ignore, 0, 0, 0
369, evenbetterarcheology:mesa_ruins, HEADING, header:ignore, 0, 0, 0
370, bro:liminal, HEADING, header:ignore, 0, 0, 0
371, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
372, spellbladenext:arcanetower, HEADING, header:ignore, 0, 0, 0
373, terralith:valley_lodge, HEADING, header:ignore, 0, 0, 0
